"SA2Name","SA2Code","Score","norm_weekend_percentage","avg_trips_per_stop","reliance_on_PT","cluster"
"Birkdale",301011003,1034,11.1333047839727,7826.0701754386,5.86474350251735,"5"
"Bli Bli",316071545,998,20.0223980029191,2765.14285714286,1.14179500796601,"5"
"Boondall",302031035,1009,15.3027788296527,15405.0487804878,11.4013725924286,"2"
"Boronia Heights - Park Ridge",311031311,923,12.0632982433591,2265.06557377049,2.68828237225528,"5"
"Bracken Ridge",302041041,1014,16.1658870207096,7094.72368421053,9.12556588039076,"5"
"Brassall",310031283,928,16.4296731900125,2745.84848484848,2.91133656815174,"5"
"Bray Park",314031391,970,8.54358850827286,2182.98333333333,6.9968387776607,"5"
"Bribie Island",313011363,925,18.6505168997719,2460.39795918367,2.01444317749905,"5"
"Bridgeman Downs",302011023,1126,9.86327926757475,7074.72222222222,6.32544664413327,"5"
"Brighton (Qld)",302041042,1024,16.6779092847265,2960.39285714286,8.97573545200773,"5"
"Brisbane Airport",302031036,1134,36.3923728609727,29481.2380952381,7.54716981132075,"2"
"Brisbane City",305011105,1083,25.5993705571458,318995.149068323,13.4148601074671,"1"
"Broadbeach Waters",309011224,1067,38.2064479700361,10536.5151515152,3.3218176986447,"5"
"Brookfield - Kenmore Hills",304021087,1146,10.8626417940439,2846.48484848485,5.45339251743817,"5"
"Browns Plains",311031312,914,19.210505691531,36202.1785714286,4.18118466898955,"2"
"Buddina - Minyama",316021418,1016,26.5878460983341,35644.8333333333,1.53636053260498,"2"
"Buderim - North",316011413,1035,18.0938120446157,2945.38,1.39720558882236,"5"
"Buderim - South",316011414,1054,17.4039242188962,3588.44444444444,1.61352781721957,"5"
"Bulimba",305021114,1145,27.6472785726479,23364.4358974359,17.8443772339841,"2"
"Bundall",309101268,1077,18.9658092689063,6761.55555555556,1.92652329749104,"5"
"Bundamba",310031284,902,8.69838190190558,9539.05555555555,5.65934065934066,"5"
"Burleigh Heads",309011225,1023,39.812202273082,28840.619047619,3.37209302325581,"2"
"Burleigh Waters",309011226,1021,25.8954204098424,2947.47272727273,2.26244343891403,"5"
"Burpengary",313041372,972,8.34413756009598,24362.8095238095,5.73044009779951,"2"
"Caboolture",313021365,886,14.4759214840595,17986.9868421053,4.48403563206886,"2"
"Caboolture - South",313021366,880,15.2564874419179,10808.4109589041,4.60823373173971,"5"
"Calamvale - Stretton",303051073,1056,18.7251981938632,17679.7,10.6891422905305,"2"
"Caloundra - Kings Beach",316021419,919,25.4069087715922,12790.2857142857,2.28105906313646,"5"
"Caloundra - West",316021420,993,19.1520004138177,1591.5,1.28219805380653,"5"
"Camira - Gailes",310041297,954,12.8812469960436,2127.29166666667,3.94767577668769,"5"
"Camp Hill",303011047,1122,13.6707203146309,14918.5,13.3344487200937,"5"
"Cannon Hill",303011048,1071,14.6185598847689,19794.6530612245,14.0928547909121,"2"
"Capalaba",301011004,991,12.4284225318331,5702.05833333333,3.82434685936631,"5"
"Carina",303011049,1057,16.0663538854937,15609.0588235294,12.6198361512986,"2"
"Carina Heights",303011050,1030,13.3900041681598,8428.82352941176,16.2692847124825,"5"
"Carindale",303011051,1105,21.5321629724812,32144.1851851852,10.1893373193822,"2"
"Carrara",309061246,1006,34.9746175361154,3965.23333333333,2.17209690893901,"5"
"Carseldine",302011024,1058,21.764241257463,10279.3142857143,12.5029049500349,"5"
"Cashmere",314011383,1081,8.45479158540524,2659.72,4.22052487269879,"5"
"Chapel Hill",304021088,1140,20.0922407899624,9862.59574468085,9.18509663279538,"5"
"Chelmer - Graceville",304031092,1145,12.8673857629578,21917.3870967742,16.227125941873,"2"
"Chermside",302021028,975,25.3959114205482,24267.4305555556,16.1185734136174,"2"
"Chermside West",302021029,1054,12.6000259228451,10773.59375,10.6645056726094,"5"
"Churchill - Yamanto",310031285,959,20.6016856127556,2042.16129032258,2.1256642700844,"5"
"Clayfield",305031122,1087,15.7081553113151,28140,18.9853826311264,"2"
"Clear Island Waters",309081259,1073,34.9789953434212,11815,1.37772675086108,"5"
"Cleveland",301021007,1009,17.4208173311822,12102.9176470588,5.28072837632777,"5"
"Clontarf",313051377,948,14.746159174265,3754.28571428571,3.8121546961326,"5"
"Collingwood Park - Redbank",310041299,938,14.1881604797922,19780.7307692308,5.49539794260964,"2"
"Coolangatta",309021230,963,41.3850043148275,29455.8333333333,2.15770890545312,"2"
"Coolum Beach",316031425,1010,33.9289069671492,4961.025,1.89069423929099,"5"
"Coombabah",309031237,930,26.7151645077318,3589.58620689655,2.16897856242119,"5"
"Coomera",309071251,1016,17.5746112491073,23297.5882352941,3.55763039278815,"2"
"Coopers Plains",303041067,978,19.3391150248613,18111.8139534884,16.2327095199349,"2"
"Coorparoo",303021053,1096,14.9692970379124,24260.8082191781,18.7391304347826,"2"
"Corinda",304031093,1082,1.69460888426951,9375,17.0907548770144,"5"
"Cornubia - Carbrook",311051324,1063,6.67764112610652,2286.42857142857,3.5173642030276,"5"
"Crestmead",311031314,882,12.0740582666984,4767.24242424242,3.62050163576881,"5"
"Currumbin - Tugun",309021231,1001,38.7426809803865,10833.746031746,2.35449237144472,"5"
