"SA2Code","SA2Name","Team_Member","normalised_working_time","normalised_non_working_time","norm_weekend_percentage"
304041100,"Keperra","Charlie",2788.81052631579,401.041095890411,12.5724059733236
302021029,"Chermside West","Kate",1315.55789473684,189.657534246575,12.6000259228451
313021368,"Morayfield - East","Eric",276.842105263158,40.041095890411,12.6359162444229
305031125,"Hendra","Steff",912.157894736842,132.123287671233,12.6520797173192
313051542,"Scarborough - Newport - Moreton Island","Dave",952.578947368421,139.054794520548,12.7382279591254
304031092,"Chelmer - Graceville","Steff",3229.76842105263,476.958904109589,12.8673857629578
310041297,"Camira - Gailes","Eric",267.378947368421,39.5342465753425,12.8812469960436
310041300,"Goodna","Eric",2772.95789473684,413.068493150685,12.9650053973523
310031293,"Raceview","Eric",546.536842105263,81.5342465753425,12.9816907743074
305021117,"Morningside - Seven Hills","Steff",5814.81052631579,870.27397260274,13.0181446882762
305021113,"Balmoral","Steff",792.410526315789,119.205479452055,13.0762819759455
303061077,"Kuraby","Kate",1312.36842105263,198.821917808219,13.1566429916494
301031015,"Manly - Lota","Kate",2906.91578947368,441.424657534247,13.1833863527439
310031287,"Ipswich - East","Eric",2985.26315789474,459.27397260274,13.3334017083569
314021390,"North Lakes - Mango Hill","Kate",3020.93684210526,466.890410958904,13.3862825502245
303011050,"Carina Heights","Dave",2909.65263157895,449.835616438356,13.3900041681598
316061439,"Beerwah","Charlie",405.473684210526,63.2465753424658,13.4934588495881
309061250,"Worongary - Tallai","Kate",49.8631578947368,7.80821917808219,13.539158546922
311061333,"Slacks Creek","Eric",921.105263157895,145.109589041096,13.6097887533472
301031017,"Murarrie","Kate",1573.29473684211,248,13.6166867988649
303011047,"Camp Hill","Steff",3382.45263157895,535.630136986301,13.6707203146309
301021009,"Redland Bay","Dave",729.389473684211,115.849315068493,13.7061049031421
305021118,"Norman Park","Steff",2811.18947368421,447.630136986301,13.7359593492258
310011274,"Inala - Richlands","Eric",7842.63157894737,1255.47945205479,13.7993419488584
310021280,"Lockyer Valley - East","Eric",149.905263157895,24.2602739726027,13.929434245321
304011082,"Middle Park - Jamboree Heights","Kate",624.452631578947,101.890410958904,14.0278635564399
302021030,"Geebung","Kate",1917.14736842105,314.356164383562,14.0871909796383
303051075,"Parkinson - Drewvale","Kate",2075.57894736842,340.561643835616,14.0952743013147
305031123,"Grange","Steff",662.768421052632,109.164383561644,14.1416950943278
302041045,"Taigum - Fitzgibbon","Charlie",4044.98947368421,667.575342465753,14.1658601740176
310041299,"Collingwood Park - Redbank","Eric",2470.53684210526,408.479452054795,14.1881604797922
301021012,"Thornlands","Kate",698.378947368421,115.561643835616,14.1977983509423
311051326,"Loganlea","Eric",4759.92631578947,795.767123287671,14.3234527249195
313021365,"Caboolture","Eric",6737.97894736842,1140.47945205479,14.4759214840595
310031295,"Riverview","Eric",576.768421052632,98,14.5235012401916
313041373,"Deception Bay","Eric",2049.37894736842,348.972602739726,14.5505191982381
301031018,"Tingalpa","Dave",866.652631578947,148.164383561644,14.6001083299847
303011048,"Cannon Hill","Kate",4607.76842105263,788.917808219178,14.6185598847689
303021057,"Holland Park West","Steff",5129.56842105263,879.164383561644,14.6314441355507
304031095,"Sherwood","Steff",2002.27368421053,343.191780821918,14.6321395875752
302031038,"Northgate - Virginia","Kate",6114.1052631579,1054,14.7040251406082
311061330,"Kingston (Qld.)","Eric",1654.97894736842,285.643835616438,14.7191838682369
313051377,"Clontarf","Eric",649.578947368421,112.356164383562,14.746159174265
310021282,"Rosewood","Eric",680.694736842105,117.739726027397,14.7463231489597
311061336,"Woodridge","Eric",1493.15789473684,259.452054794521,14.8037533887045
301031020,"Wynnum","Dave",4045.45263157895,708.616438356164,14.9054720899509
311021310,"Wolffdene - Bahrs Scrub","Dave",77.6842105263158,13.6301369863014,14.9266105027121
303021053,"Coorparoo","Steff",8179.37894736842,1439.94520547945,14.9692970379124
305041134,"Bardon","Steff",2104.45263157895,370.671232876712,14.9758659839124
304011083,"Riverhills","Kate",355.284210526316,62.6575342465753,14.9919301027523
311061334,"Springwood","Dave",4279.07368421053,754.780821917808,14.9940929162518
303041071,"Tarragindi","Steff",1816.52631578947,326.342465753425,15.2292323526433
313021366,"Caboolture - South","Eric",3760,676.917808219178,15.2564874419179
302031035,"Boondall","Charlie",3031.68421052632,547.753424657534,15.3027788296527
302031039,"Nudgee - Banyo","Dave",2552.56842105263,462,15.3255768478686
303021054,"Fairfield - Dutton Park","Kate",9783.18947368421,1775.2602739726,15.3589824996427
309061247,"Highland Park","Charlie",260.789473684211,47.5205479452055,15.413234929588
