"SA2Code","SA2Name","Pop","Score","Team_Member","n","combined_quantity","avg_trips_per_stop","index"
310041296,"Bellbird Park - Brookwater",13763,1041,"Kate",29,804157,27729.5517241379,2.014789778692
310041297,"Camira - Gailes",9238,954,"Eric",24,51055,2127.29166666667,0.230276214187775
310041299,"Collingwood Park - Redbank",8517,938,"Eric",26,514299,19780.7307692308,2.32249979678652
310041300,"Goodna",10884,868,"Eric",34,586909,17262.0294117647,1.58600049722204
310041302,"Redbank Plains",19299,906,"Eric",42,120032,2857.90476190476,0.148085639769147
310041303,"Springfield",6772,1005,"Charlie",21,345105,16433.5714285714,2.42669394987765
310041304,"Springfield Lakes",15429,1046,"Kate",51,200296,3927.37254901961,0.25454485378311
311011305,"Beaudesert",13915,913,"Eric",9,18751,2083.44444444444,0.149726514153392
311021306,"Beenleigh",8252,855,"Eric",45,959611,21324.6888888889,2.58418430548823
311021307,"Eagleby",13326,849,"Eric",47,115608,2459.74468085106,0.184582371368082
311021308,"Edens Landing - Holmview",7450,955,"Charlie",25,92964,3718.56,0.499135570469799
311021309,"Mount Warren Park",5791,951,"Eric",25,41699,1667.96,0.288026247625626
311021310,"Wolffdene - Bahrs Scrub",6105,1022,"Dave",12,17149,1429.08333333333,0.234084084084084
311031311,"Boronia Heights - Park Ridge",12237,923,"Eric",61,138169,2265.06557377049,0.185099744526476
311031312,"Browns Plains",7368,914,"Eric",28,1013661,36202.1785714286,4.91343357375523
311031314,"Crestmead",11989,882,"Eric",33,157319,4767.24242424242,0.397634700495656
311031316,"Hillcrest",8152,978,"Charlie",26,200673,7718.19230769231,0.946785121159508
311031317,"Marsden",14447,873,"Eric",46,253868,5518.86956521739,0.382007999253644
311031318,"Munruben - Park Ridge South",4617,1013,"Dave",4,5580,1395,0.302144249512671
311031319,"Regents Park - Heritage Park",15934,977,"Charlie",66,131126,1986.75757575758,0.124686681044156
311041320,"Greenbank",12852,1028,"Dave",4,2072,518,0.0403050108932462
311041321,"Jimboomba",25744,997,"Charlie",8,16827,2103.375,0.0817035037290242
311051323,"Bethania - Waterford",10870,931,"Eric",31,134908,4351.87096774194,0.400356114787667
311051324,"Cornubia - Carbrook",8455,1063,"Kate",14,32010,2286.42857142857,0.270423249134071
311051325,"Loganholme - Tanah Merah",11130,995,"Charlie",35,105894,3025.54285714286,0.271836734693878
311051326,"Loganlea",10434,898,"Eric",49,994353,20292.9183673469,1.94488387649482
311051327,"Shailer Park",11647,1052,"Kate",59,1173953,19897.5084745763,1.70838056792103
311051328,"Waterford West",7244,885,"Eric",25,157422,6296.88,0.869254555494202
311061329,"Daisy Hill",6638,1040,"Kate",30,140856,4695.2,0.707321482374209
311061330,"Kingston (Qld.)",10413,822,"Eric",55,324738,5904.32727272727,0.567015007464446
311061331,"Logan Central",6133,773,"Eric",33,747416,22648.9696969697,3.69296750317458
311061332,"Rochedale South - Priestdale",15452,1026,"Dave",79,217786,2756.78481012658,0.178409578703506
311061333,"Slacks Creek",10432,882,"Eric",57,206243,3618.29824561404,0.346846074157787
311061334,"Springwood",9279,1020,"Dave",49,952761,19444.1020408163,2.09549542416385
311061335,"Underwood",6341,1036,"Dave",21,115717,5510.33333333333,0.869000683383273
311061336,"Woodridge",12579,796,"Eric",63,292910,4649.36507936508,0.36961325060538
313011362,"Beachmere - Sandstone Point",14892,931,"Eric",87,69804,802.344827586207,0.0538775737030759
313011363,"Bribie Island",18142,925,"Eric",98,241119,2460.39795918367,0.135618893131059
313021365,"Caboolture",26827,886,"Eric",76,1367011,17986.9868421053,0.670480741122946
313021366,"Caboolture - South",20349,880,"Eric",73,789014,10808.4109589041,0.531151946479144
313021367,"Elimbah",3963,1004,"Charlie",2,24489,12244.5,3.08970476911431
313021368,"Morayfield - East",8434,914,"Eric",17,50381,2963.58823529412,0.351385847201105
313041372,"Burpengary",14022,972,"Charlie",21,511619,24362.8095238095,1.73747036969117
313041373,"Deception Bay",22446,889,"Eric",58,408238,7038.58620689655,0.313578642381562
313041375,"Narangba",18573,1027,"Dave",32,586905,18340.78125,0.987496971410112
313051377,"Clontarf",8251,948,"Eric",35,131400,3754.28571428571,0.455009782364042
313051378,"Margate - Woody Point",11696,931,"Eric",49,263207,5371.57142857143,0.459265683017393
313051379,"Redcliffe",10164,921,"Eric",53,485351,9157.56603773585,0.900980523193216
313051380,"Rothwell - Kippa-Ring",17138,922,"Eric",64,689983,10780.984375,0.62906899142257
313051542,"Scarborough - Newport - Moreton Island",12226,1016,"Dave",56,191947,3427.625,0.280355390152135
314011382,"Albany Creek",15800,1075,"Kate",51,285384,5595.76470588235,0.354162323157111
314011383,"Cashmere",18805,1081,"Kate",25,66493,2659.72,0.14143685190109
314011385,"Eatons Hill",7973,1114,"Steff",14,103309,7379.21428571429,0.925525434054219
314011386,"The Hills District",23369,1073,"Kate",92,165899,1803.25,0.0771641918781291
314011387,"Samford Valley",11754,1130,"Steff",16,5539,346.1875,0.0294527394929386
314021388,"Dakabin - Kallangur",23932,940,"Eric",68,630742,9275.61764705882,0.387582218245814
314021389,"Murrumba Downs - Griffin",17520,1023,"Dave",38,133547,3514.39473684211,0.20059330689738
314021390,"North Lakes - Mango Hill",30105,1041,"Kate",69,632073,9160.47826086957,0.304284280380985
314031391,"Bray Park",10246,970,"Charlie",60,130979,2182.98333333333,0.213057127984905
314031392,"Lawnton",6011,944,"Eric",50,391054,7821.08,1.30112793212444
314031393,"Petrie",8690,1001,"Charlie",25,1158756,46350.24,5.33374453394707
314031394,"Strathpine - Brendale",12270,938,"Eric",68,1321150,19428.6764705882,1.58342921520686
316011413,"Buderim - North",16615,1035,"Dave",50,147269,2945.38,0.177272344267228
316011414,"Buderim - South",16323,1054,"Kate",36,129184,3588.44444444444,0.219839762570878
316011415,"Mountain Creek",11254,1029,"Dave",31,131594,4244.96774193548,0.377196351691442
316011416,"Sippy Downs",10298,985,"Charlie",31,290214,9361.74193548387,0.909083505096511
316021417,"Aroona - Currimundi",10071,975,"Charlie",37,124895,3375.54054054054,0.33517431640756
316021418,"Buddina - Minyama",6433,1016,"Dave",6,213869,35644.8333333333,5.54093476345925
316021419,"Caloundra - Kings Beach",6699,919,"Eric",28,358128,12790.2857142857,1.90928283539121
316021420,"Caloundra - West",20277,993,"Charlie",42,66843,1591.5,0.0784879420032549
316021421,"Golden Beach - Pelican Waters",11854,1004,"Charlie",36,42778,1188.27777777778,0.10024276849821
316021422,"Moffat Beach - Battery Hill",7838,993,"Charlie",29,130750,4508.62068965517,0.575225910902676
316021423,"Parrearra - Warana",9502,1013,"Dave",26,252936,9728.30769230769,1.02381684827486
316021424,"Wurtulla - Birtinya",7838,1012,"Dave",20,94860,4743,0.605128859402909
316031425,"Coolum Beach",14589,1010,"Dave",40,198441,4961.025,0.340052436767427
316031426,"Marcoola - Mudjimba",10868,996,"Charlie",39,131715,3377.30769230769,0.310757056708474
316031427,"Maroochydore - Kuluin",19163,967,"Charlie",55,1119536,20355.2,1.06221364087043
316031428,"Mooloolaba - Alexandra Headland",11694,1008,"Charlie",47,480765,10229.0425531915,0.874725718590003
316051434,"Noosa Heads",4484,1055,"Kate",21,497599,23695.1904761905,5.28438681449386
316051435,"Noosaville",8735,1014,"Dave",58,264020,4552.06896551724,0.521129818605294
316051437,"Sunshine Beach",6534,1036,"Dave",31,160112,5164.90322580645,0.790465752342585
316051438,"Tewantin",10308,957,"Charlie",55,204940,3726.18181818182,0.36148446043673
316051543,"Peregian Beach - Marcus Beach",3761,1041,"Kate",14,71938,5138.42857142857,1.36623998176777
316051544,"Peregian Springs",7337,1056,"Kate",13,31137,2395.15384615385,0.326448663779998
316061439,"Beerwah",8201,957,"Charlie",3,83881,27960.3333333333,3.40938096980043
316061441,"Glass House Mountains",5838,989,"Charlie",4,59144,14786,2.53271668379582
316061442,"Landsborough",10142,991,"Charlie",9,444376,49375.1111111111,4.86838011349942
316061444,"Palmwoods",10613,1022,"Dave",14,44285,3163.21428571429,0.298050907916168
316071545,"Bli Bli",8351,998,"Charlie",14,38712,2765.14285714286,0.331115178678345
316071546,"Diddillibah - Rosemount",3764,1020,"Dave",6,9102,1517,0.403028692879915
316071547,"Eumundi - Yandina",10548,1003,"Charlie",15,54715,3647.66666666667,0.345815952471243
316071548,"Nambour",19962,936,"Eric",64,427721,6683.140625,0.334793138212604
316081549,"Noosa Hinterland",21852,994,"Charlie",25,61330,2453.2,0.112264323631704
317011448,"Gatton",7434,899,"Eric",8,36283,4535.375,0.61008541834813
317011451,"Lockyer Valley - West",11362,979,"Charlie",3,368,122.666666666667,0.0107962213225371
319031512,"Gympie - North",14220,870,"Eric",1,14222,14222,1.00014064697609
319031514,"Gympie Region",18564,935,"Eric",1,152,152,0.00818789054083172
