"SA2Code","SA2Name","Score","Team_Member","number_of_employees","Pop","percent_unemployed","number_worked_from_home","pt_to_work","dwellings_with_no_cars","Total_dwelings","percentage_houses_no_cars","dwellings_with_no_cars","Total_dwelings","percentage_houses_no_cars"
303031065,"Upper Mount Gravatt",1016,"Dave",4127,9396,56.0770540655598,132,584,428,3327,12.8644424406372,428,3327,12.8644424406372
302041043,"Deagon",970,"Charlie",1714,3675,53.3605442176871,67,277,188,1484,12.6684636118598,188,1484,12.6684636118598
302041044,"Sandgate - Shorncliffe",1039,"Dave",3026,6783,55.3884711779449,190,419,287,2480,11.5725806451613,287,2480,11.5725806451613
302041042,"Brighton (Qld)",1024,"Dave",4657,9479,50.8703449730984,195,418,227,3576,6.34787472035794,227,3576,6.34787472035794
302031038,"Northgate - Virginia",1049,"Kate",3645,6586,44.6553294867902,127,666,222,2505,8.8622754491018,222,2505,8.8622754491018
302011024,"Carseldine",1058,"Kate",4303,9037,52.3846409206595,183,538,184,3257,5.64937058642923,184,3257,5.64937058642923
302021027,"Aspley",1047,"Kate",5876,12318,52.2974508848839,293,551,450,4801,9.37304728181629,450,4801,9.37304728181629
303061079,"Sunnybank",997,"Charlie",3754,8856,57.6106594399277,153,563,234,2803,8.34819835890118,234,2803,8.34819835890118
302021030,"Geebung",1041,"Kate",2156,4324,50.1387604070305,85,268,90,1567,5.74345883854499,90,1567,5.74345883854499
302021034,"Wavell Heights",1089,"Steff",5162,9786,47.2511751481709,263,539,187,3557,5.25723924655609,187,3557,5.25723924655609
302031036,"Brisbane Airport",1134,"Steff",53,196,72.9591836734694,6,4,0,37,0,0,37,0
302031039,"Nudgee - Banyo",1038,"Dave",4870,9620,49.3762993762994,166,664,167,3335,5.00749625187406,167,3335,5.00749625187406
305031119,"Albion",1094,"Steff",1669,2791,40.2006449301326,80,378,119,1173,10.1449275362319,119,1173,10.1449275362319
303061078,"Runcorn",1007,"Charlie",6786,14479,53.1321223841426,249,964,186,4559,4.07984207062952,186,4559,4.07984207062952
303021059,"Yeronga",1090,"Steff",4909,9490,48.2718651211802,263,765,314,3654,8.59332238642583,314,3654,8.59332238642583
304041103,"The Gap",1114,"Steff",8114,16477,50.755598713358,584,928,155,5539,2.7983390503701,155,5539,2.7983390503701
302021029,"Chermside West",1054,"Kate",3085,6252,50.6557901471529,130,329,106,2268,4.67372134038801,106,2268,4.67372134038801
302021031,"Kedron - Gordon Park",1075,"Kate",7714,13712,43.742707117853,315,1080,438,5342,8.19917633845002,438,5342,8.19917633845002
302011023,"Bridgeman Downs",1126,"Steff",4142,8142,49.1279783836895,276,262,51,2623,1.94433854365231,51,2623,1.94433854365231
304011082,"Middle Park - Jamboree Heights",1065,"Kate",3603,7062,48.9804587935429,177,331,65,2442,2.66175266175266,65,2442,2.66175266175266
