SA2Name,SA2Code,SA2Code.x,SA2Code.y,Score,norm_weekend_percentage,avg_trips_per_stop,reliance_on_PT,cluster
Hope Island,309071253,309071253,309071253,1080,19.67037921,2196.857143,1.442307692,4
Inala - Richlands,310011274,310011274,310011274,798,13.79934195,15289.4717,7.31295706,2
Indooroopilly,304031094,304031094,304031094,1097,22.8536441,47930.14458,19.41255908,5
Ipswich - Central,310031286,310031286,310031286,933,17.14070698,18269.64706,5.415569763,2
Ipswich - East,310031287,310031287,310031287,906,13.33340171,6190.020202,6.828442438,4
Ipswich - North,310031288,310031288,310031288,1033,11.51515152,23.66666667,1.815878378,4
Jindalee - Mount Ommaney,304011081,304011081,304011081,1095,16.93050884,25555.6087,7.78841042,2
Kangaroo Point,305011108,305011108,305011108,1085,22.94748259,24229,20.42267832,2
Kedron - Gordon Park,302021031,302021031,302021031,1075,16.21251953,8125.316456,14.00051854,4
Kelvin Grove - Herston,305031126,305031126,305031126,1067,19.70315184,102239.2075,19.37184274,5
Kenmore,304021090,304021090,304021090,1119,19.19390013,12211.72222,9.067599068,4
Keperra,304041100,304041100,304041100,990,12.57240597,10426.44643,13.89073951,4
Kingston (Qld.),311061330,311061330,311061330,822,14.71918387,5904.327273,5.97826087,4
Kuraby,303061077,303061077,303061077,1046,13.15664299,13299.7619,9.352517986,4
Labrador,309031238,309031238,309031238,925,28.44061652,6432.097222,3.886513797,4
Landsborough,316061442,316061442,316061442,991,21.51004414,49375.11111,1.683716965,5
Lawnton,314031392,314031392,314031392,944,11.78455419,7821.08,10.34608379,4
Leichhardt - One Mile,310031291,310031291,310031291,843,17.07588063,2682.030303,3.025601241,4
Lockyer Valley - East,310021280,310021280,310021280,917,13.92943425,2713.7,0.739078791,4
Logan Central,311061331,311061331,311061331,773,17.31501139,22648.9697,7.125307125,2
Loganholme - Tanah Merah,311051325,311051325,311051325,995,11.03376423,3025.542857,4.474354311,4
Loganlea,311051326,311051326,311051326,898,14.32345272,20292.91837,6.091370558,2
Lowood,310021281,310021281,310021281,918,9.377581786,670.25,0.68811605,4
Macgregor (Qld),303031061,303031061,303031061,1019,39.62516323,30308.22222,19.14543961,2
Main Beach,309101269,309101269,309101269,1064,39.7435825,33874.15789,7.459459459,2
Manly - Lota,301031015,301031015,301031015,1050,13.18338635,14824.17073,10.8393552,4
Manly West,301031016,301031016,301031016,1037,10.6455615,4057.791667,6.939214632,4
Mansfield (Qld),303031062,303031062,303031062,1038,17.441405,9196.489362,11.42359383,4
Marcoola - Mudjimba,316031426,316031426,316031426,996,28.95907148,3377.307692,1.785714286,4
Margate - Woody Point,313051378,313051378,313051378,931,15.89674079,5371.571429,3.844597329,4
Maroochydore - Kuluin,316031427,316031427,316031427,967,29.11757524,20355.2,2.118055556,2
Marsden,311031317,311031317,311031317,873,12.33650773,5518.869565,3.870473271,4
McDowall,302011026,302011026,302011026,1096,8.677661923,7031.68,7.475,4
Mermaid Beach - Broadbeach,309011227,309011227,309011227,1022,43.95822795,179614.1667,6.591886908,3
Mermaid Waters,309011228,309011228,309011228,1020,27.90341782,2898.959184,3.337921542,4
Merrimac,309081260,309081260,309081260,983,22.77176329,3587.947368,2.112466528,4
Miami,309011229,309011229,309011229,1022,39.12051494,14503.82609,4.080522307,4
Middle Park - Jamboree Heights,304011082,304011082,304011082,1065,14.02786356,8610.6,9.186788787,4
Mitchelton,304041101,304041101,304041101,1068,11.50836155,28313.94231,15.62722314,2
Moffat Beach - Battery Hill,316021422,316021422,316021422,993,25.72807326,4508.62069,1.99823685,4
Molendinar,309091264,309091264,309091264,1003,22.9181031,3663.555556,2.4328594,4
Mooloolaba - Alexandra Headland,316031428,316031428,316031428,1008,31.96463001,10229.04255,2.272727273,4
Moorooka,303041068,303041068,303041068,1039,18.09651638,11223.02564,14.15750916,4
Morayfield - East,313021368,313021368,313021368,914,12.63591624,2963.588235,4.87129809,4
Morningside - Seven Hills,305021117,305021117,305021117,1088,13.01814469,15977.60563,16.51388514,2
Mount Gravatt,303031063,303031063,303031063,1038,15.95431514,20895.54545,12.38513783,2
Mount Warren Park,311021309,311021309,311021309,951,11.3230182,1667.96,3.22961796,4
Mountain Creek,316011415,316011415,316011415,1029,10.83226164,4244.967742,1.520979021,4
Mudgeeraba - Bonogin,309051244,309051244,309051244,1040,18.41754207,1898,1.341449667,4
Munruben - Park Ridge South,311031318,311031318,311031318,1013,0.474430683,1395,1.778907243,4
Murarrie,301031017,301031017,301031017,1066,13.6166868,22796.46667,11.8705036,2
Murrumba Downs - Griffin,314021389,314021389,314021389,1023,10.57578661,3514.394737,4.476244991,4
Nambour,316071548,316071548,316071548,936,21.89042752,6683.140625,1.38654449,4
Narangba,313041375,313041375,313041375,1027,7.930400875,18340.78125,6.348687793,2
Nerang - Mount Nathan,309061248,309061248,309061248,962,31.33700527,24072.73846,2.026080397,2
New Farm,305011109,305011109,305011109,1099,29.88207865,29691.15,19.29873773,2
Newmarket,305031127,305031127,305031127,1082,21.38738864,46677.5,19.48464525,5
Newstead - Bowen Hills,305031128,305031128,305031128,1132,20.17982549,80310.90698,20.66307983,5
Noosa Heads,316051434,316051434,316051434,1055,36.74647393,23695.19048,2.469784551,2
Noosa Hinterland,316081549,316081549,316081549,994,22.65594607,2453.2,1.099374865,4
Noosaville,316051435,316051435,316051435,1014,32.94498828,4552.068966,1.752370009,4
Norman Park,305021118,305021118,305021118,1136,13.73595935,16729.61765,13.52989804,2
North Ipswich - Tivoli,310031292,310031292,310031292,905,21.69411276,2954.353846,3.357605178,4
